headings,label
 ନୂଆପଡ଼ାର ମାଓପ୍ରବଣ ୮ଟି ପଞ୍ଚାୟତରେ ଥିବା ଅସ୍ଥାୟୀ ସ୍ବାସ୍ଥ୍ୟକେନ୍ଦ୍ର ପରିଦର୍ଶନ କଲେ ଜିଲ୍ଲାପାଳ ,state
" ରାଜ୍ୟର ସୀମା ଜଗିବା ଦୁଃସାଧ୍ୟ, ପଞ୍ଚାୟତମାନେ ଚାହିଁଲେ ପଡ଼ୋଶୀ ରାଜ୍ୟରୁ ଆସୁଥିବା ଲୋକଙ୍କୁ ଚିହ୍ନଟ କରିପା‌ରିବେ ଓ… ",state
" ଶଙ୍କରାଚାର୍ଯ୍ୟଙ୍କୁ ଭେଟି ସ୍ନାନଯାତ୍ରାକୁ ନିମନ୍ତ୍ରଣ କଲେ ମୁଖ୍ୟ ପ୍ରଶାସକ, ସେବାୟତ ",state
 ରାଜ୍ୟର ଆର୍ଥିକ ସ୍ଥିତି ଉପରେ କରୋନା ମାଡ଼ : କେନ୍ଦ୍ର ଟଙ୍କା ଦେଲେ ଯାଇ ଖର୍ଚ୍ଚ ହେବ ,state
" କଟକ ବଡ଼ ଡାକ୍ତରଖାନା ହେବ ବିଶ୍ୱସ୍ତରୀୟ : କ୍ୱାର୍ଟର୍ସ ଛାଡ଼, ନ ହେଲେ ବିଜୁଳି-ପାଣି ବନ୍ଦ ",state
" ବ୍ରହ୍ମପୁରରେ ଆଜିଠୁ ୪ ଦିନିଆ ସଟ୍‌ଡାଉନ୍ : ବଜାରରେ ଅସମ୍ଭାଳ ଭିଡ଼, ବୋହି ନେଲେ ପନିପରିବା ",state
 ବିଜୟ କେତନଙ୍କ ପରେ ଘରୋଇ ବ୍ୟାଙ୍କ ଅଧିକାରୀଙ୍କୁ ଜାମିନ ,state
 ବଲ୍‌ ଏବେ ସୁପ୍ରିମକୋର୍ଟରେ: ପ୍ରଫୁଲ୍ଲ ଘଡ଼େଇ ,state
 ଆଇଆଇଏମ୍‌ ସମ୍ବଲପୁରରେ ଜାତୀୟ ସମ୍ମିଳନୀ : ଉଦ୍‌ଘାଟିତ ହେଲା ବିଜ୍‌‌ନେସ୍‌ ଇନ୍‌କ୍ୟୁବେସନ କେନ୍ଦ୍ର ,state
 ଆଜି ପହଞ୍ଚିବ ଗୋଟିଏ ଶ୍ରମିକ ଟ୍ରେନ୍‌ ,state
